Name,Games,Points,Rebounds,Assists,Field Goal %,3 Point Field Goal %,Free Throw %,Effective Field Goal %,Teams
Alaa Abdelnaby,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,"Portland Trail Blazers, 1991-1992"
Tony Allen,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,"Boston Celtics, 2005-2010"
Ray Allen,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,"Milwaukee Bucks, 1997-2003"
Randy Allen,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,"Sacramento Kings, 1989-1990"
Malik Allen,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,"Miami Heat, 2002-2005"
Lavoy Allen,388,4.8,4.8,1.0,47.1,13.3,68.2,47.2,"Philadelphia 76ers, 2012-2014"
Kadeem Allen,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,"Boston Celtics, 2018"
Jerome Allen,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,"Minnesota Timberwolves, 1996"
Jarrett Allen,2,411,11.0,12.0,69.2,63.0,-,18.1,"Brooklyn Nets, 2018-2021"
Grayson Allen,7,271,11.4,9.7,46.7,43.6,47.2,39.7,"Utah Jazz, 2019"
Bill Allen,38,7.9,7.1,0.6,42.9,100.0,58.6,43.2,"Anaheim Amigos, 1968"
Rawle Alkins,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,"Chicago Bulls, 2019"
Steve Alford,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,"Dallas Mavericks, 1988-1990"
Udoka Azubuike,2,70,1.0,3.2,100.0,77.1,-,-,"Utah Jazz, 2021-2023"
Kelenna Azubuike,208,10.5,4.0,1.1,45.9,40.9,77.0,51.9,"Golden State Warriors, 2007-2010"
Deandre Ayton,7,310,10.4,16.5,56.5,59.6,-,26.3,"Phoenix Suns, 2019-2023"
Jeff Ayres,237,2.9,2.7,0.4,55.3,40.0,77.6,55.5,"Portland Trail Blazers, 2010"
Gustavo Ayón,135,4.7,4.4,1.3,53.6,0.0,50.4,53.6,"New Orleans Hornets, 2012"
Joel Ayayi,7,0.3,0.4,0.6,16.7,0.0,-,16.7,"Washington Wizards, 2022"
Dennis Awtrey,733,4.8,4.6,2.0,45.9,-,65.2,45.9,"Philadelphia 76ers, 1971-1973"
